date,open,high,low,close,volume,trend
12/22/2021,35753.89063,35764.67188,35433.12891,35491.71094,281930000,up
12/23/2021,35950.55859,36060.98828,35782.42188,35782.42188,247420000,up
12/27/2021,36302.37891,36306.60938,35954.48047,35954.48047,244350000,up
12/28/2021,36398.21094,36527.26172,36302.98828,36302.98828,239090000,up
12/29/2021,36488.62891,36571.55078,36396.19141,36421.14063,213480000,up
12/30/2021,36398.07813,36679.44141,36372.12891,36522.48047,205620000,up
12/31/2021,36338.30078,36484.94141,36303.96875,36385.85156,213200000,down
1/3/2022,36585.05859,36595.82031,36246.44922,36321.58984,347930000,down
1/4/2022,36799.64844,36934.83984,36636,36636,435080000,up
1/5/2022,36407.10938,36952.64844,36400.39063,36722.60156,462040000,up
1/6/2022,36236.46875,36464.19141,36200.67969,36409.05078,385890000,down
1/7/2022,36231.66016,36382.83984,36111.53125,36249.58984,356110000,down
1/10/2022,36068.87109,36175.21094,35639.91016,36175.21094,430680000,down
1/11/2022,36252.01953,36271.46875,35769.37891,36058.85156,356850000,down
1/12/2022,36290.32031,36453.48828,36168.14844,36336.16016,310180000,up
1/13/2022,36113.62109,36513.87891,36044.21875,36312.48828,343640000,down
1/14/2022,35911.80859,35996.42969,35641.48828,35996.42969,389200000,down
1/18/2022,35368.46875,35661.76172,35262.01953,35661.76172,427260000,down
1/19/2022,35028.64844,35547.82813,35015.48828,35412.30078,393080000,down
1/20/2022,34715.39063,35490.19922,34670.12109,35102.66016,369070000,down
1/21/2022,34265.37109,34896.67188,34229.55078,34701.69141,523880000,down
1/24/2022,34364.5,34420.98828,33150.32813,34070.60938,664010000,down
1/25/2022,34297.73047,34591.03906,33545.51953,34186.64063,506430000,up
1/26/2022,34168.08984,34815.67188,33876.48047,34520.82031,546330000,up
1/27/2022,34160.78125,34773.32031,34007.78125,34261.75,527780000,down
1/28/2022,34725.46875,34731.76953,33807.51172,34135.23828,568440000,down
1/31/2022,35131.85938,35148.14063,34496.10156,34691.17188,468070000,up
2/1/2022,35405.23828,35441.08984,34977.94922,35151.46875,386080000,up
2/2/2022,35629.32813,35679.19922,35290.12109,35378.19141,359540000,up
2/3/2022,35111.16016,35535.94141,35071.05859,35520.07813,381020000,up
